N,base_bits,vector_idx,karat_time_s,direct_time_s,correct
512,8,19,0.410692208,0.000019208,1
512,8,20,0.414198625,0.000019208,1
512,16,1,0.144733208,0.000021083,1
512,16,2,0.136925042,0.000019458,1
512,16,3,0.138451333,0.000029417,1
512,16,4,0.138901583,0.000020917,1
512,16,5,0.138472750,0.000020208,1
512,16,6,0.136843917,0.000018958,1
512,16,7,0.139797125,0.000019375,1
512,16,8,0.140647167,0.000019083,1
512,16,9,0.136610458,0.000018583,1
512,16,10,0.138108875,0.000018667,1
512,16,11,0.139922417,0.000018875,1
512,16,12,0.136297625,0.000021750,1
512,16,13,0.137698125,0.000019250,1
512,16,14,0.137474083,0.000018583,1
512,16,15,0.141253833,0.000018958,1
512,16,16,0.137726458,0.000018458,1
512,16,17,0.136731833,0.000018750,1
512,16,18,0.141882917,0.000019792,1
512,16,19,0.139423917,0.000022625,1
512,16,20,0.141187417,0.000018708,1
512,32,1,0.048418875,0.000018333,1
512,32,2,0.047965333,0.000018958,1
512,32,3,0.046067625,0.000021542,1
512,32,4,0.047698917,0.000018708,1
512,32,5,0.047701583,0.000022333,1
512,32,6,0.049935833,0.000019542,1
512,32,7,0.050043958,0.000020250,1
512,32,8,0.048658375,0.000022208,1
512,32,9,0.049881500,0.000019708,1
512,32,10,0.050673792,0.000018875,1
512,32,11,0.048323792,0.000021000,1
512,32,12,0.046494792,0.000018667,1
512,32,13,0.045483792,0.000019292,1
512,32,14,0.047497833,0.000018000,1
512,32,15,0.046542583,0.000019833,1
512,32,16,0.045874125,0.000019000,1
512,32,17,0.045921250,0.000018917,1
512,32,18,0.048407833,0.000021583,1
512,32,19,0.048980000,0.000020042,1
512,32,20,0.049432667,0.000021375,1
